Company,Facility,Total Stationary Combusion,Total Industrial Process,Total Flaring,Total Venting,Total Fugitive,Total On-site Transportation,Total Waste,Total Wastewater,Total Combined Industrial Process and Stationary Combustion,Total Emissions (tonnes CO2e)
Spectra Energy Midstream Corporation,Jedney I Gas Plant," 46,772 ", -   ," 7,040 "," 1,933 ", 0 , -   , -   , -   , -   ," 55,744 "
Spectra Energy Midstream Corporation,Jedney II Gas Plant," 48,991 ", -   ," 5,724 "," 1,522 ", 4 , -   , -   , -   , -   ," 56,240 "
Spectra Energy Midstream Corporation,Peggo Plant," 19,058 ", -   ," 3,972 "," 6,807 ", 0 , -   , -   , -   , -   ," 29,837 "
Spectra Energy Midstream Corporation,Tooga Plant," 25,666 ", -   , 45 ," 6,250 ", -   , -   , -   , -   , -   ," 31,961 "
Spectra Energy Midstream Corporation,West Doe Plant," 62,004 ", -   ," 5,390 "," 2,594 ", -   , -   , -   , -   , -   ," 69,989 "
Spectra Energy Transmission,McMahon Cogen Plant," 552,996 ", -   , -   , -   , -   , -   , -   , -   , -   ," 552,996 "
Spectra Energy Transmission,Booster Station 12 - Fort Nelson," 44,975 ", -   , 842 , -   , 116 , -   , -   , -   , -   ," 45,934 "
Spectra Energy Transmission,Booster Station 19 - Cabin Lake," 41,079 ", -   , 112 , -   ," 1,235 ", -   , -   , -   , -   ," 42,426 "
Spectra Energy Transmission,Booster Station 3 - Kobes Creek," 22,098 ", -   ," 1,802 ", -   ," 1,324 ", -   , -   , -   , -   ," 25,224 "
Spectra Energy Transmission,Booster Station 6 - Bluehills," 17,922 ", -   , 27 ," 20,469 "," 1,110 ", -   , -   , -   , -   ," 39,527 "
Spectra Energy Transmission,Fort Nelson Gas Plant," 473,808 ", -   ," 7,922 "," 1,195,452 ", 689 , -   , -   , 15 , -   ," 1,677,886 "
Spectra Energy Transmission,Ft. St. John Gathering Pipeline, 272 , -   ," 2,220 "," 1,364 "," 6,237 ", -   , -   , -   , -   ," 10,093 "
Spectra Energy Transmission,Kwoen Gas Plant," 5,257 ", -   ," 13,339 ", 1 , 328 , -   , -   , -   , -   ," 18,925 "
Spectra Energy Transmission,McMahon Gas Plant," 53,516 ", -   ," 92,406 "," 231,336 ", 78 , -   , -   , 2 , -   ," 377,337 "
Spectra Energy Transmission,Pine River Gas Plant," 249,490 ", -   ," 3,095 "," 883,141 ", 41 , -   , -   , 0 , -   ," 1,135,767 "
Spectra Energy Transmission,Sikanni Gas Plant," 4,564 ", -   ," 4,090 "," 8,276 ", 47 , -   , -   , -   , -   ," 16,976 "
Spectra Energy Transmission,Station 1 - Taylor," 49,619 ", -   , 168 , -   ," 2,232 ", -   , -   , -   , -   ," 52,019 "
Spectra Energy Transmission,Transmission Mainline," 581,233 ", -   , -   ," 124,315 "," 34,282 ", -   , -   , -   , -   ," 739,831 "
Spectra Energy Transmission,"BC Aggregated Facilities (E < 10,000 tCO2e each)"," 17,864 ", -   ," 4,162 "," 3,370 "," 14,438 ", -   , -   , -   , -   ," 39,833 "
Suncor Energy Inc.,Burrard Products Terminal," 12,167 ", -   , -   , -   , -   , -   , -   , -   , -   ," 12,167 "
Suncor Energy Inc.,Clarke Lake Battery (D-83-I/94-J-10)," 12,941 ", -   , 402 ," 1,005 "," 2,601 ", -   , -   , -   , -   ," 16,950 "
Suncor Energy Inc.,Kobes Battery (B-24-A/94-B-9)," 11,148 ", -   , 30 , 795 ," 1,020 ", -   , -   , -   , -   ," 12,992 "
Suncor Energy Inc.,Laprise Main Battery (D-30-E/94-H-5)," 14,018 ", -   , 55 ," 5,795 "," 3,122 ", -   , -   , -   , -   ," 22,990 "
Suncor Energy Inc.,Parkland Gas Plant (06-29-081-15W6M)," 16,791 ", -   ," 3,393 "," 9,424 "," 1,663 ", -   , -   , -   , -   ," 31,271 "
Suncor Energy Inc.,Suncor Yoyo Battery (D-8-L/94-I-14)," 27,218 ", -   , 59 , 871 ," 1,088 ", -   , -   , -   , -   ," 29,237 "
Suncor Energy Inc.,"BC Aggregated Facilities (E < 10,000 tCO2e each)"," 58,773 ", -   ," 1,006 "," 9,255 "," 16,013 ", -   , -   , -   , -   ," 85,046 "
Talisman Energy Inc.,Farrell Creek Facility," 26,227 ", -   ," 1,574 ", -   ," 3,607 ", -   , -   , -   , -   ," 31,408 "
Talisman Energy Inc.,Ojay Facility," 18,928 ", -   , 51 ," 1,526 "," 1,234 ", -   , -   , -   , -   ," 21,740 "
Talisman Energy Inc.,West Sukunka Facility," 29,050 ", -   , 144 , -   ," 2,253 ", -   , -   , -   , -   ," 31,447 "
Talisman Energy Inc.,"BC Aggregated Facilities (E < 10,000 tCO2e each)"," 34,525 ", -   ," 6,923 "," 18,897 "," 16,276 ", -   , -   , -   , -   ," 76,621 "
TAQA North Ltd.,Chinchaga C-32-H/94-H-8," 20,477 ", -   , 575 ," 2,208 "," 1,986 ", -   , -   , -   , -   ," 25,246 "
TAQA North Ltd.,Laprise Compressor Station COM /B-040-E/094-H-05/ 00," 15,344 ", -   , 158 ," 5,277 ", 254 , -   , -   , -   , -   ," 21,032 "
TAQA North Ltd.,"BC Aggregated Facilities (E < 10,000 tCO2e each)"," 14,306 ", -   ," 2,454 "," 4,504 "," 4,804 ", -   , -   , -   , -   ," 26,068 "
Teck Coal Limited,Coal Mountain Operations," 49,503 ", -   , -   , -   ," 53,725 "," 60,468 ", -   , -   , -   ," 163,696 "
Teck Coal Limited,Elkview Operations," 69,659 ", -   , -   , -   ," 88,465 "," 124,176 ", -   , -   , -   ," 282,300 "
Teck Coal Limited,Fording River Operations," 85,725 ", -   , -   , -   ," 154,951 "," 238,996 ", -   , -   , -   ," 479,671 "
Teck Coal Limited,Greenhills Operations," 108,115 ", -   , -   , -   ," 85,227 "," 117,656 ", -   , -   , -   ," 310,998 "
Teck Coal Limited,Line Creek Operations," 29,289 ", -   , -   , -   ," 51,164 "," 73,068 ", -   , -   , -   ," 153,521 "
Teck Highland Valley Copper Partnership,Highland Valley Copper Mine," 16,156 ", -   , -   , -   , -   ," 160,741 ", -   , -   , -   ," 176,897 "
Teck Metals Ltd.,Trail Operations," 360,432 "," 65,621 ", -   , -   , 864 ," 1,576 ", -   , -   , -   ," 428,493 "
Tembec,Chetwynd Operation," 17,557 ", 282 , -   , -   , -   ," 1,991 ", -   , -   , -   ," 19,830 "
Tembec,Elko Sawmill," 14,398 ", -   , -   , -   , -   ," 1,666 ", -   , -   , -   ," 16,064 "
Tembec,Skookumchick Operation," 25,019 "," 6,043 ", -   , -   , -   ," 1,238 "," 23,896 ", -   , -   ," 56,197 "
Terra Energy Corporation,"BC Aggregated Facilities (E < 10,000 tCO2e each)"," 34,584 ", -   ," 3,008 "," 4,102 "," 10,677 ", -   , -   , -   , -   ," 52,372 "
Thompson Creek Mining Ltd.,Endako Mine," 6,180 ", -   , -   , -   , -   ," 31,955 ", -   , -   , -   ," 38,135 "
Tolko Industries Ltd.,Heffley Creek Division," 17,084 ", -   , -   , -   , -   ," 1,594 ", -   , -   , -   ," 18,678 "
Tolko Industries Ltd.,Lavington Planer Mill," 15,219 ", -   , -   , -   , -   ," 2,221 ", -   , -   , -   ," 17,440 "
Tolko Industries Ltd.,Nicola Valley Division," 12,707 ", -   , -   , -   , -   ," 2,590 ", -   , -   , -   ," 15,296 "
Tourmaline Oil Corp.,Sunrise 3-18-80-17 W6," 10,517 ", -   , 1 , 400 , 740 , -   , -   , -   , -   ," 11,658 "
Tourmaline Oil Corp.,"BC Aggregated Facilities (E < 10,000 tCO2e each)"," 1,488 ", -   , -   , 254 ," 1,097 ", -   , -   , -   , -   ," 2,838 "
TransCanada PipeLines Ltd.,ANG Crowsnest Facility," 108,958 ", -   , -   ," 6,412 ", 35 , -   , -   , -   , -   ," 115,405 "
TransCanada PipeLines Ltd.,ANG Elko Facility," 8,861 ", -   , -   ," 5,882 ", 21 , -   , -   , -   , -   ," 14,764 "
TransCanada PipeLines Ltd.,ANG Moyie Facility," 22,432 ", -   , -   ," 3,351 ", 74 , -   , -   , -   , -   ," 25,856 "
TransCanada PipeLines Ltd.,"BC Aggregated Facilities (E < 10,000 tCO2e each)", 61 , -   , -   ," 8,152 "," 1,784 ", -   , -   , -   , -   ," 9,997 "
Tree Island Industries Ltd.,Tree Island Industries Facility," 11,014 ", -   , -   , -   , -   , 301 , -   , -   , -   ," 11,315 "
V.I. Power L.P.,Island Generation Facility," 41,932 ", -   , -   , -   , 38 , 1 , -   , -   , -   ," 41,971 "
Village Farms Canada L.P.,Delta I Facility," 22,769 ", -   , -   , -   , -   , -   , -   , -   , -   ," 22,769 "
Village Farms Canada L.P.,Delta II Facility," 10,422 ", -   , -   , -   , -   , -   , -   , -   , -   ," 10,422 "
Wastech Services Ltd.,Cache Creek Landfill, -   , -   , -   , -   , -   ," 1,362 "," 16,476 ", -   , -   ," 17,839 "
West Fraser Mills Ltd.,Quesnel River Pulp," 54,594 ", -   , -   , -   , -   , 965 , -   , -   , -   ," 55,559 "
Western Coal Corp.,Dillon - Brule Mine," 7,112 ", -   , -   , -   ," 1,424 "," 58,937 ", -   , -   , -   ," 67,473 "
Western Coal Corp.,Perry Creek Mine," 5,268 ", -   , -   , -   ," 2,413 "," 92,463 ", -   , -   , -   ," 100,144 "
Western Coal Corp.,Willow Creek Mine," 2,967 ", -   , -   , -   , 764 ," 37,260 ", -   , -   , -   ," 40,991 "
Weyerhaeuser Company Limited,Princeton Sawmill, -   , -   , -   , -   , -   ," 2,361 "," 17,653 ", -   , -   ," 20,014 "
Windset Farms Inc.,Ladner Greenhouse," 21,612 ", -   , -   , -   , -   , 114 , -   , -   , -   ," 21,726 "
Zellstoff Celgar Limited Partnership,Zellstoff Celgar Facility," 27,533 "," 8,034 ", -   , -   , -   ," 1,375 "," 52,957 ", -   , -   ," 89,900 "
Total,," 9,272,581 "," 1,301,682 "," 553,618 "," 3,332,318 "," 1,531,474 "," 1,156,264 "," 262,834 ", 150 ," 1,775,227 "," 19,186,456 "
