Company,Facility,Total Stationary Combusion,Total Industrial Process,Total Flaring,Total Venting,Total Fugitive,Total On-site Transportation,Total Waste,Total Wastewater,Total Combined Industrial Process and Stationary Combustion,Total Emissions (tonnes CO2e)
Spectra Energy Transmission,Fort Nelson Gas Plant,"461,782 ",- ,"24,522 ","1,197,050 ",544 ,- ,- ,24 ,- ,"1,683,922 "
Spectra Energy Transmission,Kwoen Gas Plant,"5,530 ",- ,"9,638 ",5 ,61 ,- ,- ,- ,- ,"15,235 "
Spectra Energy Transmission,McMahon Cogen Plant,"487,230 ",- ,- ,- ,- ,- ,- ,- ,- ,"487,230 "
Spectra Energy Transmission,McMahon Gas Plant,"54,066 ",- ,"93,031 ","194,536 ",751 ,- ,- ,2 ,- ,"342,385 "
Spectra Energy Transmission,Pine River Gas Plant,"249,158 ",- ,"4,048 ","798,339 ",353 ,- ,- ,0 ,- ,"1,051,898 "
Spectra Energy Transmission,Station 1 - Taylor,"42,159 ",- ,103 ,201 ,"1,429 ",- ,- ,- ,- ,"43,892 "
Spectra Energy Transmission,Transmission Mainline,"575,125 ",- ,- ,"84,357 ","20,070 ",- ,- ,- ,- ,"679,552 "
Suncor Energy Products Partnership,Burrard Products Terminal,"12,071 ",- ,- ,- ,- ,- ,- ,- ,- ,"12,071 "
Talisman Energy Inc.,"BC Aggregated Facilities (E <10,000 tCO2e each)","54,584 ",- ,"7,470 ","27,184 ","18,384 ",- ,- ,- ,- ,"107,622 "
Talisman Energy Inc.,Farrell Creek Facility,"45,442 ",- ,"5,666 ",334 ,"3,865 ",- ,- ,- ,- ,"55,307 "
Talisman Energy Inc.,Ojay Facility,"18,770 ",- ,189 ,910 ,"1,236 ",- ,- ,- ,- ,"21,105 "
Talisman Energy Inc.,West Sukunka Facility,"22,744 ",- ,106 ,"1,271 ","2,247 ",- ,- ,- ,- ,"26,368 "
Taqa North Ltd.,"BC Aggregated Facilities (E <10,000 tCO2e each)","13,552 ",- ,"2,948 ","3,892 ","1,201 ",- ,- ,- ,- ,"21,593 "
Taqa North Ltd.,Chinchaga C-32-H/94-H-8,"14,721 ",- ,411 ,"2,618 ",752 ,- ,- ,- ,- ,"18,502 "
Taqa North Ltd.,Laprise A-40-E/94-H-5 ,"14,461 ",- ,392 ,"4,241 ",36 ,- ,- ,- ,- ,"19,128 "
Teck Coal Limited,Coal Mountain Operations,"63,069 ",- ,- ,- ,"50,378 ","60,387 ",- ,- ,- ,"173,834 "
Teck Coal Limited,Elkview Operations,"76,033 ",- ,- ,- ,"89,666 ","189,554 ",- ,- ,- ,"355,254 "
Teck Coal Limited,Fording River Operations,"90,685 ",- ,- ,- ,"158,514 ","226,252 ",- ,- ,- ,"475,451 "
Teck Coal Limited,Greenhills Operations,"200,943 ",- ,- ,- ,"81,700 ","128,649 ",- ,- ,- ,"411,293 "
Teck Coal Limited,Line Creek Operations,"29,334 ",- ,- ,- ,"59,343 ","70,381 ",- ,- ,- ,"159,059 "
Teck Highland Valley Copper Partnership,Highland Valley Copper Mine,"17,347 ",- ,- ,- ,- ,"137,556 ",- ,- ,- ,"154,903 "
Teck Metals Ltd.,Trail Operations,"330,574 ","104,710 ",- ,- ,816 ,"1,762 ",- ,- ,- ,"437,863 "
Tembec,Chetwynd Operations,"17,027 ",189 ,- ,- ,- ,"1,384 ",- ,- ,- ,"18,600 "
Tembec,Tembec Skookumchuck Operation,"30,641 ","6,441 ",- ,- ,- ,"1,303 ","25,180 ",- ,- ,"63,565 "
Terra Energy Corporation,"BC Aggregated Facilities (E <10,000 tCO2e each)","29,582 ",- ,"2,079 ","1,799 ","12,052 ",- ,- ,- ,- ,"45,512 "
Thompson Creek Mining Ltd.,Endako Mine,"7,436 ",- ,- ,- ,- ,"25,155 ",- ,- ,- ,"32,591 "
Tolko Industries Ltd.,Heffley Creek Division,"13,371 ",- ,- ,- ,- ,"1,395 ",- ,- ,- ,"14,766 "
Tolko Industries Ltd.,Lavington Planer Mill,"15,359 ",- ,- ,- ,- ,"1,930 ",- ,- ,- ,"17,289 "
Tolko Industries Ltd.,Nicola Valley Division,"11,440 ",- ,- ,- ,- ,"2,303 ",- ,- ,- ,"13,743 "
Tourmaline Oil Corp,"BC Aggregated Facilities (E <10,000 tCO2e each)","1,161 ",- ,10 ,- ,455 ,- ,- ,- ,- ,"1,626 "
Tourmaline Oil Corp,Dawson/Doe 1-32-80-15 W6,"34,399 ",- ,1 ,243 ,360 ,- ,- ,- ,- ,"35,003 "
Tourmaline Oil Corp,Sunrise 3-18-80-17 W6,"44,119 ",- ,3 ,80 ,184 ,- ,- ,- ,- ,"44,386 "
TransCanada PipeLines Ltd.,ANG Crowsnest Facility,"112,427 ",- ,- ,"6,120 ",105 ,- ,- ,- ,- ,"118,651 "
TransCanada PipeLines Ltd.,Ang Elko Facility,"27,212 ",- ,- ,"3,762 ",28 ,- ,- ,- ,- ,"31,002 "
TransCanada PipeLines Ltd.,Ang Moyie Facility,"49,892 ",- ,- ,"5,042 ",100 ,- ,- ,- ,- ,"55,034 "
TransCanada PipeLines Ltd.,"BC Aggregated Facilities (E <10,000 tCO2e each)",78 ,- ,- ,- ,"1,773 ",- ,- ,- ,- ,"1,850 "
Tree Island Industries Ltd,Tree Island Industries Facility,"11,014 ",- ,- ,- ,- ,383 ,- ,- ,- ,"11,397 "
V.I. Power LP,Island Generation Facility,"29,744 ",- ,- ,- ,- ,1 ,- ,- ,- ,"29,745 "
Veresen Energy Infrastructure Inc.,Steeprock Sour Gas Plant,"35,416 ",- ,"4,598 ","40,050 ",61 ,- ,- ,- ,- ,"80,126 "
Village Farms Canada L.P.,Delta I Facility,"22,726 ",- ,- ,- ,- ,- ,- ,- ,- ,"22,726 "
Village Farms Canada L.P.,Delta II Facility,"9,888 ",- ,- ,- ,- ,- ,- ,- ,- ,"9,888 "
Wastech Services LTD.,Cache Creek Landfill,- ,- ,- ,- ,- ,"1,252 ","18,554 ",- ,- ,"19,806 "
West Coast Reduction Ltd.,West Coast Reduction Ltd.,"22,810 ",- ,- ,- ,- ,- ,- ,- ,- ,"22,810 "
West Fraser Mills Ltd.,Quesnel River Pulp,"52,509 ",- ,- ,- ,- ,907 ,- ,- ,- ,"53,416 "
Western Coal Corp,Dillon -Brule Mine,- ,- ,- ,- ,"1,753 ","113,042 ",241 ,- ,- ,"115,035 "
Western Coal Corp,Perry Creek Mine,"2,656 ",- ,- ,- ,"1,546 ","85,509 ","11,161 ",- ,- ,"100,872 "
Western Coal Corp,Willow Creek Mine,- ,- ,- ,- ,"1,091 ","60,243 ","13,539 ",- ,- ,"74,874 "
Weyerhaeuser Company Limited,Princeton Sawmill,"17,700 ",- ,- ,- ,- ,"2,482 ",- ,- ,- ,"20,182 "
Windset Farms Inc.,Ladner Greenhouse,"26,402 ",- ,- ,- ,- ,160 ,- ,- ,- ,"26,563 "
Zellstoff Celgar Limited Partnership,Zellstoff Celgar Facility,"29,913 ","8,137 ",- ,- ,11 ,"1,325 ","55,624 ",- ,- ,"95,011 "
Total,,"9,335,467 ","1,249,213 ","510,736 ","3,091,430 ","1,460,192 ","1,342,489 ","316,775 ",26 ,"1,644,006 ","18,962,068 "
